population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,21,80+ years,494,Stroke,1,Number,2014,141758.62633882632,159393.4772687168,114807.44570015275
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,23,5-14 years,494,Stroke,1,Number,2014,299.125091340164,347.17915101756176,252.30737787410948
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,23,5-14 years,494,Stroke,1,Number,2014,268.85200672009654,317.37608100825577,227.44430063324165
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,24,15-49 years,494,Stroke,1,Number,2014,15349.778954607644,16596.71155308683,14150.471388293057
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,24,15-49 years,494,Stroke,1,Number,2014,13210.455545821183,14131.923896565157,12298.096966869898
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,25,50-69 years,494,Stroke,1,Number,2014,60429.00521502986,64018.228587220656,57178.40360687297
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,25,50-69 years,494,Stroke,1,Number,2014,45177.560452825404,47761.88304680749,42666.065808983665
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,26,70+ years,494,Stroke,1,Number,2014,139015.33466911432,149671.82167684802,126183.7622168871
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,26,70+ years,494,Stroke,1,Number,2014,194411.29955994777,214626.94882448067,163768.32716795866
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,28,<1 year,494,Stroke,1,Number,2014,294.43439426198574,352.26418522766704,243.03673536431697
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,28,<1 year,494,Stroke,1,Number,2014,211.91340792114877,260.32261712166957,177.2945966444177
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,30,80-84 years,494,Stroke,1,Number,2014,31801.605472675907,34177.29455554358,29087.641746644316
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,30,80-84 years,494,Stroke,1,Number,2014,39793.58591242644,43400.10377172715,34182.48933516908
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,31,85-89 years,494,Stroke,1,Number,2014,28624.745608373138,31140.19951052213,25245.500193363965
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,31,85-89 years,494,Stroke,1,Number,2014,46196.43888675723,51784.953619604836,37645.89805541277
1,All Population,1,Deaths,44564,Region of the Americas,1,Male,32,90-94 years,494,Stroke,1,Number,2014,16454.85501289658,18328.56099192363,13825.734287729221
1,All Population,1,Deaths,44564,Region of the Americas,2,Female,32,90-94 years,494,Stroke,1,Number,2014,36411.43166645727,42111.47858398656,28235.66858600722
